Source,Target,Weight,Mission Report Id,Mission Report Title,Mission Brief Id,Mission Brief Title,Campaign Id,Campaign Title
"64","92","<[2011-11-12T18:54:24.000, 2012-03-24T15:21:01.000, 1); [2012-03-24T15:21:01.000, 2012-03-26T23:26:27.000, 2); [2012-03-26T23:26:27.000, 2014-08-08T19:54:24.000, 3); [2014-08-08T19:54:24.000, 2014-12-19T15:21:01.000, 2); [2014-12-19T15:21:01.000, 2014-12-21T22:26:27.000, 1]>",,,,,,
"246","64","<[2012-06-04T11:44:51.000, 2015-03-01T10:44:51.000, 1]>",,,,,,
"10","795","<[2012-05-10T00:21:00.000, 2015-02-03T23:21:00.000, 1]>",,,,,,
"203","10","<[2012-03-25T17:08:52.000, 2014-12-20T16:08:52.000, 1]>",,,,,,
"439","82","<[2012-06-12T21:19:05.000, 2015-03-09T20:19:05.000, 1]>",,,,,,
"844","4","<[2012-06-10T17:17:34.000, 2015-03-07T16:17:34.000, 1]>",,,,,,
"4","97","<[2012-05-22T10:45:05.000, 2015-02-16T09:45:05.000, 1]>",,,,,,
"823","664","<[2012-05-19T17:15:29.000, 2012-05-23T15:18:56.000, 1); [2012-05-23T15:18:56.000, 2015-02-13T16:15:29.000, 2); [2015-02-13T16:15:29.000, 2015-02-17T14:18:56.000, 1]>",,,,,,
"812","4","<[2012-05-09T09:07:14.000, 2012-05-09T22:35:42.000, 1); [2012-05-09T22:35:42.000, 2012-06-19T12:31:57.000, 2); [2012-06-19T12:31:57.000, 2012-07-05T09:30:26.000, 3); [2012-07-05T09:30:26.000, 2012-08-02T15:04:37.000, 4); [2012-08-02T15:04:37.000, 2012-08-03T02:24:00.000, 5); [2012-08-03T02:24:00.000, 2012-08-22T14:15:44.000, 6); [2012-08-22T14:15:44.000, 2015-02-03T08:07:14.000, 7); [2015-02-03T08:07:14.000, 2015-02-03T21:35:42.000, 6); [2015-02-03T21:35:42.000, 2015-03-16T11:31:57.000, 5); [2015-03-16T11:31:57.000, 2015-04-01T09:30:26.000, 4); [2015-04-01T09:30:26.000, 2015-04-29T15:04:37.000, 3); [2015-04-29T15:04:37.000, 2015-04-30T02:24:00.000, 2); [2015-04-30T02:24:00.000, 2015-05-19T14:15:44.000, 1]>",,,,,,
"5","311","<[2011-12-16T16:47:34.000, 2011-12-16T16:47:38.000, 1); [2011-12-16T16:47:38.000, 2014-09-11T17:47:34.000, 2); [2014-09-11T17:47:34.000, 2014-09-11T17:47:38.000, 1]>",,,,,,
"537","262","<[2012-09-13T22:56:10.000, 2012-09-27T09:23:13.000, 1); [2012-09-27T09:23:13.000, 2015-06-10T22:56:10.000, 2); [2015-06-10T22:56:10.000, 2015-06-24T09:23:13.000, 1]>",,,,,,
"901","647","<[2012-05-29T19:31:49.000, 2015-02-23T18:31:49.000, 1]>",,,,,,
"10","750","<[2012-05-09T21:33:19.000, 2015-02-03T20:33:19.000, 1]>",,,,,,
"514","4","<[2012-02-15T16:34:33.000, 2012-02-15T16:36:25.000, 1); [2012-02-15T16:36:25.000, 2012-02-15T20:20:01.000, 2); [2012-02-15T20:20:01.000, 2012-02-16T21:43:18.000, 3); [2012-02-16T21:43:18.000, 2012-02-19T14:40:11.000, 4); [2012-02-19T14:40:11.000, 2014-11-11T16:34:33.000, 5); [2014-11-11T16:34:33.000, 2014-11-11T16:36:25.000, 4); [2014-11-11T16:36:25.000, 2014-11-11T20:20:01.000, 3); [2014-11-11T20:20:01.000, 2014-11-12T21:43:18.000, 2); [2014-11-12T21:43:18.000, 2014-11-15T14:40:11.000, 1]>",,,,,,
"8","55","<[2012-03-20T16:18:51.000, 2012-11-06T15:45:08.000, 1); [2012-11-06T15:45:08.000, 2014-12-15T16:18:51.000, 2); [2014-12-15T16:18:51.000, 2015-08-03T16:45:08.000, 1]>",,,,,,
"683","127","<[2012-07-31T01:00:52.000, 2015-04-27T01:00:52.000, 1]>",,,,,,
