comment_id,timestamp,author_id,target_id,effort,nid,brief_id,author_team
3612,1342794531,662,678,1364,1145,486,0
3613,1342794691,653,678,475,1145,486,0
3614,1342795808,662,653,506,1145,486,0
3615,1342796043,82,678,167,1145,486,0
3616,1342796762,266,82,424,1145,486,0
3617,1342797949,932,82,474,1145,486,0
3618,1342801876,262,10,2273,1140,640,0
3619,1342806315,4,678,1817,1145,486,1
3620,1342807142,965,4,191,1145,486,0
3621,1342809842,857,678,128,1145,486,0
3622,1342811635,932,10,228,1140,640,0
3623,1342818859,425,820,1218,960,188,0
3624,1342819218,988,10,146,1140,640,0
3625,1342819870,988,678,105,1145,486,0
3626,1342822509,11,82,811,1145,486,0
3627,1342822936,932,820,923,960,188,0
3676,1343117813,647,4,609,1145,486,0
3629,1342822975,11,662,289,1145,486,0
3630,1342823431,11,988,1200,1140,640,0
3631,1342824725,932,10,52,1140,640,0
3632,1342826762,425,932,245,960,188,0
3644,1342864588,932,10,139,1140,640,0
3645,1342875942,8,10,611,1140,640,1
3641,1342863808,10,857,118,1140,640,1
3636,1342859160,4,11,656,1145,486,1
3637,1342863396,10,378,142,1140,640,1
3635,1342826840,378,10,965,1140,640,0
3646,1342881280,857,8,1051,1100,640,0
3647,1342902541,857,10,3,1140,640,0
3648,1342955121,722,82,10404,1070,683,0
3649,1342978135,678,678,1137,1145,486,0
3650,1342978558,678,4,782,1145,486,0
3651,1342993897,82,82,593,1070,683,0
3653,1343038741,722,82,335,1070,683,0
3658,1343048693,10,262,1327,1140,640,1
3656,1343046375,8,10,114,1140,640,1
3657,1343046540,10,262,2754,1140,640,1
3659,1343048700,10,100,644,1040,482,1
3660,1343053949,8,722,746,1033,482,1
3661,1343057055,8,54,1513,1030,188,1
3662,1343067916,262,10,3309,1140,640,0
3663,1343070770,11,4,508,1147,486,0
3664,1343083297,4,11,272,1147,486,1
3665,1343083635,857,11,51,1147,486,0
3666,1343084303,4,857,100,1147,486,1
3667,1343089050,857,4,1041,1147,486,0
3668,1343090160,857,857,137,1147,486,0
3669,1343090519,857,11,229,1147,486,0
3670,1343112793,11,857,438,1147,486,0
3671,1343114331,11,4,53,1147,486,0
3672,1343114581,11,857,353,1147,486,0
3673,1343115568,647,4,542,1147,486,0
3674,1343115779,8,647,183,1147,486,1
3675,1343115788,11,647,39,1147,486,0
3677,1343117937,647,932,145,1145,486,0
3678,1343118080,647,662,167,1145,486,0
3722,1343336622,82,82,584,1070,683,0
3680,1343120145,647,11,6,1147,486,0
3681,1343123527,8,10,782,1140,640,1
3682,1343127784,262,4,495,1147,486,0
3683,1343129131,8,857,249,1147,486,1
3684,1343131318,4,647,222,1147,486,1
3685,1343131705,647,4,69,1147,486,0
3686,1343134674,4,647,373,1147,486,1
3687,1343141259,10,4,2236,1147,486,1
3688,1343142132,10,5,402,1148,486,1
3689,1343145531,4,4,35,1147,486,1
3690,1343146210,647,4,216,1147,486,0
3691,1343165929,857,4,57,1147,486,0
3703,1343166319,683,4,1006,1147,486,1
3704,1343167700,4,425,221,1148,486,1
3693,1343147478,857,11,297,1147,486,0
3694,1343148841,857,11,171,1147,486,0
3695,1343149968,690,678,288,1145,486,0
3696,1343150123,683,4,902,1147,486,1
3697,1343150420,82,4,727,1147,486,0
3698,1343150939,82,82,470,1147,486,0
3699,1343151263,683,262,415,1147,486,1
3705,1343167833,425,4,85,1148,486,0
3706,1343168013,720,678,1261,1145,486,0
3701,1343156382,262,4,645,1147,486,0
3702,1343156476,425,5,309,1148,486,0
3707,1343209602,186,678,4586,1145,486,0
3708,1343212429,8,186,720,1145,486,1
3709,1343216897,4,8,774,1145,486,1
3710,1343221289,266,678,1018,1145,486,0
3711,1343221423,5,935,552,1130,712,1
3713,1343229242,8,82,1172,1070,683,1
3714,1343231873,82,8,3002,1070,683,0
3716,1343258493,683,678,570,1145,486,1
3717,1343289159,8,683,230,1017,769,1
3718,1343294275,965,4,1065,1147,486,0
3719,1343296741,101,4,420,1147,486,0
3720,1343298426,974,4,369,1147,486,0
3721,1343305631,10,262,31,1140,640,1
3723,1343375366,8,82,402,1070,683,1
3724,1343391596,8,1175,426,1151,29,1
3725,1343394851,975,4,435,1147,486,0
3726,1343409990,82,8,2001,1070,683,0
3727,1343425554,8,82,802,1070,683,1
3728,1343504225,82,8,9055,1070,683,0
3729,1343487253,82,8,682,1070,683,0
3742,1343568381,4,1175,628,1151,29,1
3731,1343489094,857,4,984,1147,486,0
3732,1343489210,857,4,3,1147,486,0
3733,1343494414,932,609,434,944,688,0
3734,1343498303,932,4,865,1147,486,0
3735,1343507605,82,857,881,1147,486,0
3736,1343565545,1137,975,317,1147,486,0
3737,1343565727,1137,857,345,1147,486,0
3738,1343566121,1137,82,595,1147,486,0
3739,1343566421,1137,932,513,1147,486,0
3740,1343566524,1137,974,2,1147,486,0
3741,1343566795,1137,965,376,1147,486,0
3743,1343571451,857,1137,1927,1147,486,0
3744,1343572192,4,82,567,1147,486,1
3745,1343573459,857,82,3,1147,486,0
3747,1343576919,1182,511,165,1007,682,0
3748,1343579005,1137,82,438,1147,486,0
3749,1343585244,82,4,287,1147,486,0
3746,1343573408,857,82,1399,1147,486,0
3751,1343639108,10,82,234,1070,683,1
3752,1343644329,4,82,102,1147,486,1
3753,1343644549,8,82,1102,1070,683,1
3754,1343645368,10,1182,163,1007,682,1
3756,1343662821,186,4,720,1145,486,0
3757,1343663397,82,8,432,1070,683,0
3758,1343663681,82,10,279,1070,683,0
3759,1343664981,82,4,67,1147,486,0
3760,1343666906,1182,10,712,1007,682,0
3761,1343668381,857,82,534,1147,486,0
3762,1343682329,425,127,271,273,29,0
3763,1343689252,683,127,1276,273,29,1
3764,1343744272,10,674,602,631,29,1
3765,1343746162,10,683,1566,980,189,1
3766,1343776926,378,4,1478,1147,486,0
3767,1343778223,683,10,1106,980,189,1
3768,1343813807,82,82,2307,1070,683,0
3769,1343814528,10,82,248,1070,683,1
3770,1343816838,82,10,945,1070,683,0
3771,1343823794,932,82,797,1070,683,0
3772,1343828189,82,932,212,1070,683,0
